experiment_version,clip_id,group_id,split,behavior,raw_alert_type,behavior_event_id,instrumentation_event_id,video_time_seconds,frame_index,direction,line_id,track_id,frame_processing_ms
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,line_crossing,counter_delta,,P01_intrusion_positive_r1_daylight_frontal_oblique:line:16:doorway:out:1,0.642,16,OUT,doorway,,34.028
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,intrusion,intrusion,c2907605-776b-4713-bcb1-44a723c7153e,,3.252,81,IN,doorway,3,37.611
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,line_crossing,counter_delta,,P01_intrusion_positive_r1_daylight_frontal_oblique:line:81:doorway:in:1,3.252,81,IN,doorway,,37.611
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,intrusion,intrusion,cd213f5a-5524-44c2-ba45-d1a225d673a2,,12.566,313,IN,doorway,1,36.437
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,line_crossing,counter_delta,,P01_intrusion_positive_r1_daylight_frontal_oblique:line:313:doorway:in:1,12.566,313,IN,doorway,,36.437
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_intrusion_negative_r1_low_light_side_oblique:line:139:doorway:out:1,5.581,139,OUT,doorway,,35.18
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_intrusion_negative_r1_low_light_side_oblique:line:150:doorway:out:1,6.022,150,OUT,doorway,,36.209
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_intrusion_negative_r1_low_light_side_oblique:line:228:doorway:out:1,9.154,228,OUT,doorway,,33.734
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r1_daylight_side_oblique,development_r1_daylight_side_oblique,development,loitering,loitering,b79dfcd9-c4ea-4269-9e0d-aaa48fc12485,,26.899,670,,,2,59.701
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,suspicious_behavior,suspicious_stranger,27e3f9b4-df49-4196-8182-e16e39447526,,180.185,4488,,,1,34.353
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r1_daylight_side_oblique,development_r1_daylight_side_oblique,development,theft,suspicious_theft_behavior,1ec424b3-ba6e-4f31-8943-46521846721c,,16.822,419,,,3,34.095
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,line_crossing,counter_delta,,P01_line_crossing_positive_r1_daylight_frontal_oblique:line:174:doorway:out:1,6.986,174,OUT,doorway,,34.104
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,line_crossing,counter_delta,,P01_line_crossing_positive_r1_daylight_frontal_oblique:line:287:doorway:out:1,11.522,287,OUT,doorway,,34.629
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_line_crossing_negative_r1_low_light_side_oblique:line:289:doorway:out:1,11.603,289,OUT,doorway,,32.562
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_line_crossing_negative_r1_low_light_side_oblique:line:389:doorway:out:1,15.618,389,OUT,doorway,,32.979
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,line_crossing,counter_delta,,P01_line_crossing_negative_r1_low_light_side_oblique:line:399:doorway:out:1,16.019,399,OUT,doorway,,33.019
