experiment_version,clip_id,video_path,video_sha256,camera_config_path,camera_config_sha256,frames,fps,duration_seconds,detections,wall_seconds
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_daylight_frontal_oblique\P01_intrusion_positive_r1_daylight_frontal_oblique.mp4,60a1fc9cd318140f6266145c43325048d42c811bd325e28a28da5f846f9f96cc,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_intrusion_positive_r1_daylight_frontal_oblique.yaml,9b06f1b2b1d0e2f3a749f75db1d033934ff73156f56a55a35fc0c5867bc5fe12,696,24.908,27.943,5,40.305
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_low_light_side_oblique\P01_intrusion_negative_r1_low_light_side_oblique.mp4,10ef28fa8e90dabb097f1ab221538016b2d3fbdea81ff2969ba9991127f1941f,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_intrusion_negative_r1_low_light_side_oblique.yaml,45cf4d4f91b6af02028f9e071cf9cfe1007e2d133d148c7ad12db33ddb1dffff,671,24.908,26.939,3,24.078
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r1_daylight_side_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_daylight_side_oblique\P01_loitering_positive_r1_daylight_side_oblique.mp4,53fdb73900e3a024dbf4e2d11dbd1c43bec8bf2ed4fe33efb2ca4fd244676c49,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_loitering_positive_r1_daylight_side_oblique.yaml,df1267b71c16aa8687f2eae915a924c9de6b7d5e25ed6b07d7426d6645849bda,915,24.908,36.735,1,51.92
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r1_low_light_frontal_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_low_light_frontal_oblique\P01_loitering_negative_r1_low_light_frontal_oblique.mp4,74046423b5b9cd9f9ddb6d7d446d81de3fbcdb24f858e70f9e50383b0dd2b502,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_loitering_negative_r1_low_light_frontal_oblique.yaml,504ede958eb19a6957f457d31432aaf4db8b9be26ac620374a4b44bf15192cde,859,24.908,34.487,0,43.156
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_daylight_frontal_oblique\P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.mp4,7bdbf75a1a7b5266efa1835f84058cc2d5aea567427d5fb78a1427eea6027555,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.yaml,13adc3f0f95f58fac2df25b14188162e7a00e6347ae84f67fcb478e27ab16d3d,5001,24.908,200.781,1,283.999
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r1_low_light_side_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_low_light_side_oblique\P01_suspicious_behavior_negative_r1_low_light_side_oblique.mp4,ee7b937fa258b09e8c705c2a4fab6f4339c0226769cec78d4f61f6a84ef282ff,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_suspicious_behavior_negative_r1_low_light_side_oblique.yaml,83a728bc45a5a8f8e36aeae0841e91fc610e0e95fdeb448c1fc73d2be29483bf,5175,24.908,207.767,0,203.081
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r1_daylight_side_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_daylight_side_oblique\P01_theft_positive_r1_daylight_side_oblique.mp4,d9f6d58535325861ef571a1a84595d92badd40f1e45177e86fcda3707c1acda4,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_theft_positive_r1_daylight_side_oblique.yaml,3e1d065bb5704885c6510703b807ad4ae1f793d44712bfa77ddae3b4f4253314,978,24.908,39.264,1,48.4
priority-pilot-v2-single-participant-2026-08-18,P01_theft_negative_r1_low_light_frontal_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_low_light_frontal_oblique\P01_theft_negative_r1_low_light_frontal_oblique.mp4,7741f21bfaae111c857ccb55bc97c2befdc75107b48b4dd87435f36c556d32e2,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_theft_negative_r1_low_light_frontal_oblique.yaml,c3a23baf5f27be2f04990db607cda23693ec0f67397a605fccecbc3a3e9c3677,964,24.908,38.703,0,42.18
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_daylight_frontal_oblique\P01_line_crossing_positive_r1_daylight_frontal_oblique.mp4,1d1729d0827897e3b6069dca052e54106f748b34d40356a8cbfd2d001cc8e5af,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_line_crossing_positive_r1_daylight_frontal_oblique.yaml,5f7bb9e70942e8ff60db77938dfc18dcc4518d12cbd2c7f71e8b23a947d2ecf5,647,24.909,25.975,2,27.716
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,E:\SCT_Camera\experiments\priority_19_08\manual\videos_pilot\development\development_r1_low_light_side_oblique\P01_line_crossing_negative_r1_low_light_side_oblique.mp4,dcc7e3e5e5ce79aa3f48fe191c47e971d2d91bb2fa071252987be1b7cf948d17,E:\SCT_Camera\experiments\priority_19_08\manual\configs_pilot\P01_line_crossing_negative_r1_low_light_side_oblique.yaml,40a9731c3e9254febe250ee1a7b96a285e675ffbbe31368f56330c3b1adf61d3,690,24.908,27.702,3,27.943
