clip_id,behavior,event_id,start_seconds,eligible_time_seconds,end_seconds,label,split,group_id,annotator,reviewer,annotation_status,notes
intrusion_positive_P01_daylight_frontal_oblique,intrusion,gt_intrusion_positive_P01_daylight_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P01_daylight_side_oblique,intrusion,gt_intrusion_positive_P01_daylight_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P01_low_light_frontal_oblique,intrusion,gt_intrusion_positive_P01_low_light_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P01_low_light_side_oblique,intrusion,gt_intrusion_positive_P01_low_light_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P02_daylight_frontal_oblique,intrusion,gt_intrusion_positive_P02_daylight_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P02_daylight_side_oblique,intrusion,gt_intrusion_positive_P02_daylight_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P02_low_light_frontal_oblique,intrusion,gt_intrusion_positive_P02_low_light_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P02_low_light_side_oblique,intrusion,gt_intrusion_positive_P02_low_light_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P03_daylight_frontal_oblique,intrusion,gt_intrusion_positive_P03_daylight_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P03_daylight_side_oblique,intrusion,gt_intrusion_positive_P03_daylight_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P03_low_light_frontal_oblique,intrusion,gt_intrusion_positive_P03_low_light_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P03_low_light_side_oblique,intrusion,gt_intrusion_positive_P03_low_light_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P04_daylight_frontal_oblique,intrusion,gt_intrusion_positive_P04_daylight_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P04_daylight_side_oblique,intrusion,gt_intrusion_positive_P04_daylight_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P04_low_light_frontal_oblique,intrusion,gt_intrusion_positive_P04_low_light_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P04_low_light_side_oblique,intrusion,gt_intrusion_positive_P04_low_light_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P05_daylight_frontal_oblique,intrusion,gt_intrusion_positive_P05_daylight_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P05_daylight_side_oblique,intrusion,gt_intrusion_positive_P05_daylight_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P05_low_light_frontal_oblique,intrusion,gt_intrusion_positive_P05_low_light_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_positive_P05_low_light_side_oblique,intrusion,gt_intrusion_positive_P05_low_light_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P01_daylight_frontal_oblique,intrusion,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P01_daylight_side_oblique,intrusion,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P01_low_light_frontal_oblique,intrusion,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P01_low_light_side_oblique,intrusion,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P02_daylight_frontal_oblique,intrusion,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P02_daylight_side_oblique,intrusion,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P02_low_light_frontal_oblique,intrusion,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P02_low_light_side_oblique,intrusion,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P03_daylight_frontal_oblique,intrusion,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P03_daylight_side_oblique,intrusion,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P03_low_light_frontal_oblique,intrusion,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P03_low_light_side_oblique,intrusion,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P04_daylight_frontal_oblique,intrusion,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P04_daylight_side_oblique,intrusion,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P04_low_light_frontal_oblique,intrusion,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P04_low_light_side_oblique,intrusion,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P05_daylight_frontal_oblique,intrusion,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P05_daylight_side_oblique,intrusion,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P05_low_light_frontal_oblique,intrusion,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
intrusion_negative_P05_low_light_side_oblique,intrusion,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_positive_P01_daylight_frontal_oblique,loitering,gt_loitering_positive_P01_daylight_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_positive_P01_daylight_side_oblique,loitering,gt_loitering_positive_P01_daylight_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_positive_P01_low_light_frontal_oblique,loitering,gt_loitering_positive_P01_low_light_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_positive_P01_low_light_side_oblique,loitering,gt_loitering_positive_P01_low_light_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_positive_P02_daylight_frontal_oblique,loitering,gt_loitering_positive_P02_daylight_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_positive_P02_daylight_side_oblique,loitering,gt_loitering_positive_P02_daylight_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_positive_P02_low_light_frontal_oblique,loitering,gt_loitering_positive_P02_low_light_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_positive_P02_low_light_side_oblique,loitering,gt_loitering_positive_P02_low_light_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_positive_P03_daylight_frontal_oblique,loitering,gt_loitering_positive_P03_daylight_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_positive_P03_daylight_side_oblique,loitering,gt_loitering_positive_P03_daylight_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_positive_P03_low_light_frontal_oblique,loitering,gt_loitering_positive_P03_low_light_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_positive_P03_low_light_side_oblique,loitering,gt_loitering_positive_P03_low_light_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_positive_P04_daylight_frontal_oblique,loitering,gt_loitering_positive_P04_daylight_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_positive_P04_daylight_side_oblique,loitering,gt_loitering_positive_P04_daylight_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_positive_P04_low_light_frontal_oblique,loitering,gt_loitering_positive_P04_low_light_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_positive_P04_low_light_side_oblique,loitering,gt_loitering_positive_P04_low_light_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_positive_P05_daylight_frontal_oblique,loitering,gt_loitering_positive_P05_daylight_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_positive_P05_daylight_side_oblique,loitering,gt_loitering_positive_P05_daylight_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_positive_P05_low_light_frontal_oblique,loitering,gt_loitering_positive_P05_low_light_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_positive_P05_low_light_side_oblique,loitering,gt_loitering_positive_P05_low_light_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_negative_P01_daylight_frontal_oblique,loitering,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_negative_P01_daylight_side_oblique,loitering,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_negative_P01_low_light_frontal_oblique,loitering,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_negative_P01_low_light_side_oblique,loitering,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
loitering_negative_P02_daylight_frontal_oblique,loitering,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_negative_P02_daylight_side_oblique,loitering,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
