experiment_version,clip_id,group_id,split,video_path,camera_config_path,status,source_path,source_sha256,video_sha256,frames,fps,duration_seconds,width,height
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_intrusion_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_positive_r1_daylight_frontal_oblique.yaml,READY,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\89739805317667775775.mp4,60a1fc9cd318140f6266145c43325048d42c811bd325e28a28da5f846f9f96cc,60a1fc9cd318140f6266145c43325048d42c811bd325e28a28da5f846f9f96cc,696,24.907848,27.943,1280,720
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_intrusion_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_negative_r1_low_light_side_oblique.yaml,READY,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\58606849029842367887.mp4,10ef28fa8e90dabb097f1ab221538016b2d3fbdea81ff2969ba9991127f1941f,10ef28fa8e90dabb097f1ab221538016b2d3fbdea81ff2969ba9991127f1941f,671,24.908126,26.939,1280,720
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r1_daylight_side_oblique,development_r1_daylight_side_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_side_oblique/P01_loitering_positive_r1_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_positive_r1_daylight_side_oblique.yaml,READY,E:\Loitering\20260819004649135_F6B80AMPBVCDD6C_L_0_L0120819004649_1.mp4,53fdb73900e3a024dbf4e2d11dbd1c43bec8bf2ed4fe33efb2ca4fd244676c49,53fdb73900e3a024dbf4e2d11dbd1c43bec8bf2ed4fe33efb2ca4fd244676c49,915,24.908126,36.735,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r1_low_light_frontal_oblique,development_r1_low_light_frontal_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_frontal_oblique/P01_loitering_negative_r1_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_negative_r1_low_light_frontal_oblique.yaml,READY,E:\20260819005233907_F6B80AMPBVCDD6C_L_0_L0120819005233_1.mp4,74046423b5b9cd9f9ddb6d7d446d81de3fbcdb24f858e70f9e50383b0dd2b502,74046423b5b9cd9f9ddb6d7d446d81de3fbcdb24f858e70f9e50383b0dd2b502,859,24.907936,34.487,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.yaml,READY,E:\Suspicious_behaviour\20260818232314089_F6B80AMPBVCDD6C_L_0_L0120818232314_1.mp4,7bdbf75a1a7b5266efa1835f84058cc2d5aea567427d5fb78a1427eea6027555,7bdbf75a1a7b5266efa1835f84058cc2d5aea567427d5fb78a1427eea6027555,5001,24.907735,200.781,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_suspicious_behavior_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_negative_r1_low_light_side_oblique.yaml,READY,E:\Suspicious_behaviour\20260819001509955_F6B80AMPBVCDD6C_L_0_L0120819001509_1.mp4,ee7b937fa258b09e8c705c2a4fab6f4339c0226769cec78d4f61f6a84ef282ff,ee7b937fa258b09e8c705c2a4fab6f4339c0226769cec78d4f61f6a84ef282ff,5175,24.907709,207.767,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r1_daylight_side_oblique,development_r1_daylight_side_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_side_oblique/P01_theft_positive_r1_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_positive_r1_daylight_side_oblique.yaml,READY,E:\Thef\20260819003558141_F6B80AMPBVCDD6C_L_0_L0120819003558_1.mp4,d9f6d58535325861ef571a1a84595d92badd40f1e45177e86fcda3707c1acda4,d9f6d58535325861ef571a1a84595d92badd40f1e45177e86fcda3707c1acda4,978,24.908313,39.264,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_theft_negative_r1_low_light_frontal_oblique,development_r1_low_light_frontal_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_frontal_oblique/P01_theft_negative_r1_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_negative_r1_low_light_frontal_oblique.yaml,READY,E:\Thef\20260819003458436_F6B80AMPBVCDD6C_L_0_L0120819003458_1.mp4,7741f21bfaae111c857ccb55bc97c2befdc75107b48b4dd87435f36c556d32e2,7741f21bfaae111c857ccb55bc97c2befdc75107b48b4dd87435f36c556d32e2,964,24.90763,38.703,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,development_r1_daylight_frontal_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_line_crossing_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_positive_r1_daylight_frontal_oblique.yaml,READY,E:\SCT_Camera\tmp\loitering_line_review_20260819_1\20260819005555242_F6B80AMPBVCDD6C_L_0_L0120819005555_1.mp4,1d1729d0827897e3b6069dca052e54106f748b34d40356a8cbfd2d001cc8e5af,1d1729d0827897e3b6069dca052e54106f748b34d40356a8cbfd2d001cc8e5af,647,24.908566,25.975,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,development_r1_low_light_side_oblique,development,experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_line_crossing_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_negative_r1_low_light_side_oblique.yaml,READY,E:\SCT_Camera\tmp\line_negative_review_20260819_2\20260819011132213_F6B80AMPBVCDD6C_L_0_L0120819011132_1.mp4,dcc7e3e5e5ce79aa3f48fe191c47e971d2d91bb2fa071252987be1b7cf948d17,dcc7e3e5e5ce79aa3f48fe191c47e971d2d91bb2fa071252987be1b7cf948d17,690,24.907949,27.702,2304,1296
