clip_id,behavior,label,participant_id,lighting,viewpoint,split,group_id,target_duration_seconds,action_script,camera_setup,video_path,camera_config_path,status
intrusion_positive_P01_daylight_frontal_oblique,intrusion,positive,P01,daylight,frontal_oblique,train,P01,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P01_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P01_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P01_daylight_side_oblique,intrusion,positive,P01,daylight,side_oblique,train,P01,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P01_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P01_daylight_side_oblique.yaml,TO_RECORD
intrusion_positive_P01_low_light_frontal_oblique,intrusion,positive,P01,low_light,frontal_oblique,train,P01,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P01_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P01_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P01_low_light_side_oblique,intrusion,positive,P01,low_light,side_oblique,train,P01,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P01_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P01_low_light_side_oblique.yaml,TO_RECORD
intrusion_positive_P02_daylight_frontal_oblique,intrusion,positive,P02,daylight,frontal_oblique,train,P02,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P02_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P02_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P02_daylight_side_oblique,intrusion,positive,P02,daylight,side_oblique,train,P02,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P02_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P02_daylight_side_oblique.yaml,TO_RECORD
intrusion_positive_P02_low_light_frontal_oblique,intrusion,positive,P02,low_light,frontal_oblique,train,P02,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P02_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P02_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P02_low_light_side_oblique,intrusion,positive,P02,low_light,side_oblique,train,P02,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P02_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P02_low_light_side_oblique.yaml,TO_RECORD
intrusion_positive_P03_daylight_frontal_oblique,intrusion,positive,P03,daylight,frontal_oblique,train,P03,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P03_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P03_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P03_daylight_side_oblique,intrusion,positive,P03,daylight,side_oblique,train,P03,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P03_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P03_daylight_side_oblique.yaml,TO_RECORD
