experiment_version,clip_id,filename,behavior,label,participant_id,repetition,session_id,split,group_id,lighting,viewpoint,expected_direction,target_duration_seconds,thresholds_frozen,action_script,camera_setup,video_path,camera_config_path,roi_line_confirmation,status
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,P01_intrusion_positive_r1_daylight_frontal_oblique.mp4,intrusion,positive,P01,1,development_r1_daylight_frontal_oblique,development,development_r1_daylight_frontal_oblique,daylight,frontal_oblique,IN,25,"No dwell threshold; confirmed person, >=2 center-history points, IN only.",Cross the confirmed line once from image-left to image-right (configured IN) near 10 s.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_intrusion_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_positive_r1_daylight_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,P01_intrusion_negative_r1_low_light_side_oblique.mp4,intrusion,negative,P01,1,development_r1_low_light_side_oblique,development,development_r1_low_light_side_oblique,low_light,side_oblique,OUT,25,"No dwell threshold; confirmed person, >=2 center-history points, IN only.",Cross once from image-right to image-left (OUT); never cross back IN.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_intrusion_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_negative_r1_low_light_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r1_daylight_side_oblique,P01_loitering_positive_r1_daylight_side_oblique.mp4,loitering,positive,P01,1,development_r1_daylight_side_oblique,development,development_r1_daylight_side_oblique,daylight,side_oblique,,35,20 s dwell; 3 s state grace.,Enter the confirmed ROI by 5 s and remain continuously inside for >=22 s.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_side_oblique/P01_loitering_positive_r1_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_positive_r1_daylight_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r1_low_light_frontal_oblique,P01_loitering_negative_r1_low_light_frontal_oblique.mp4,loitering,negative,P01,1,development_r1_low_light_frontal_oblique,development,development_r1_low_light_frontal_oblique,low_light,frontal_oblique,,25,20 s dwell; 3 s state grace.,"Enter the ROI, remain <15 s, then leave and stay outside.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_frontal_oblique/P01_loitering_negative_r1_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_negative_r1_low_light_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.mp4,suspicious_behavior,positive,P01,1,development_r1_daylight_frontal_oblique,development,development_r1_daylight_frontal_oblique,daylight,frontal_oblique,,200,180 s dwell; >=5 history points; stationary displacement <=0.04 diagonal or pacing path/net rule.,Enter by 5 s and stand nearly still inside stranger_watch until >=190 s; keep full body visible.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_positive_r1_daylight_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r1_low_light_side_oblique,P01_suspicious_behavior_negative_r1_low_light_side_oblique.mp4,suspicious_behavior,negative,P01,1,development_r1_low_light_side_oblique,development,development_r1_low_light_side_oblique,low_light,side_oblique,,200,180 s dwell; >=5 history points; stationary displacement <=0.04 diagonal or pacing path/net rule.,"Walk purposefully through the ROI once within 15 s, exit, and stay outside; do not pace or wait.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_suspicious_behavior_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_negative_r1_low_light_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r1_daylight_side_oblique,P01_theft_positive_r1_daylight_side_oblique.mp4,theft,positive,P01,1,development_r1_daylight_side_oblique,development,development_r1_daylight_side_oblique,daylight,side_oblique,,35,Near >=10 s; score >=2; near cue mandatory plus >=1 vehicle/pose cue.,"Stay near the watched vehicle for >=10 s, then visibly move/push it while remaining in the ROI.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_side_oblique/P01_theft_positive_r1_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_positive_r1_daylight_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_theft_negative_r1_low_light_frontal_oblique,P01_theft_negative_r1_low_light_frontal_oblique.mp4,theft,negative,P01,1,development_r1_low_light_frontal_oblique,development,development_r1_low_light_frontal_oblique,low_light,frontal_oblique,,35,Near >=10 s; score >=2; near cue mandatory plus >=1 vehicle/pose cue.,"Stay near the stationary vehicle for >=12 s with hands away; do not touch, pace around, or move it.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_frontal_oblique/P01_theft_negative_r1_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_negative_r1_low_light_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,P01_line_crossing_positive_r1_daylight_frontal_oblique.mp4,line_crossing,positive,P01,1,development_r1_daylight_frontal_oblique,development,development_r1_daylight_frontal_oblique,daylight,frontal_oblique,OUT,25,No dwell threshold; counter increments on center crossing or new line/bbox contact; IN and OUT counted.,Cross the confirmed line once from image-right to image-left (OUT) near 10 s.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_daylight_frontal_oblique/P01_line_crossing_positive_r1_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_positive_r1_daylight_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,P01_line_crossing_negative_r1_low_light_side_oblique.mp4,line_crossing,negative,P01,1,development_r1_low_light_side_oblique,development,development_r1_low_light_side_oblique,low_light,side_oblique,NONE,25,No dwell threshold; counter increments on center crossing or new line/bbox contact; IN and OUT counted.,Move parallel to the line or turn early; keep the entire person bbox clear of the line.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/development/development_r1_low_light_side_oblique/P01_line_crossing_negative_r1_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_negative_r1_low_light_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,P01_intrusion_positive_r2_low_light_side_oblique.mp4,intrusion,positive,P01,2,test_r2_low_light_side_oblique,test,test_r2_low_light_side_oblique,low_light,side_oblique,IN,25,"No dwell threshold; confirmed person, >=2 center-history points, IN only.",Cross the confirmed line once from image-left to image-right (configured IN) near 10 s.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_side_oblique/P01_intrusion_positive_r2_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_positive_r2_low_light_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_daylight_frontal_oblique,P01_intrusion_negative_r2_daylight_frontal_oblique.mp4,intrusion,negative,P01,2,test_r2_daylight_frontal_oblique,test,test_r2_daylight_frontal_oblique,daylight,frontal_oblique,OUT,25,"No dwell threshold; confirmed person, >=2 center-history points, IN only.",Cross once from image-right to image-left (OUT); never cross back IN.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_frontal_oblique/P01_intrusion_negative_r2_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_negative_r2_daylight_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r2_low_light_frontal_oblique,P01_loitering_positive_r2_low_light_frontal_oblique.mp4,loitering,positive,P01,2,test_r2_low_light_frontal_oblique,test,test_r2_low_light_frontal_oblique,low_light,frontal_oblique,,35,20 s dwell; 3 s state grace.,Enter the confirmed ROI by 5 s and remain continuously inside for >=22 s.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_frontal_oblique/P01_loitering_positive_r2_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_positive_r2_low_light_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r2_daylight_side_oblique,P01_loitering_negative_r2_daylight_side_oblique.mp4,loitering,negative,P01,2,test_r2_daylight_side_oblique,test,test_r2_daylight_side_oblique,daylight,side_oblique,,25,20 s dwell; 3 s state grace.,"Enter the ROI, remain <15 s, then leave and stay outside.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_side_oblique/P01_loitering_negative_r2_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_negative_r2_daylight_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r2_low_light_side_oblique,P01_suspicious_behavior_positive_r2_low_light_side_oblique.mp4,suspicious_behavior,positive,P01,2,test_r2_low_light_side_oblique,test,test_r2_low_light_side_oblique,low_light,side_oblique,,200,180 s dwell; >=5 history points; stationary displacement <=0.04 diagonal or pacing path/net rule.,Enter by 5 s and stand nearly still inside stranger_watch until >=190 s; keep full body visible.,"Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 45-70 degrees across the camera optical axis; stable low light, face/body still detectable; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_side_oblique/P01_suspicious_behavior_positive_r2_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_positive_r2_low_light_side_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r2_daylight_frontal_oblique,P01_suspicious_behavior_negative_r2_daylight_frontal_oblique.mp4,suspicious_behavior,negative,P01,2,test_r2_daylight_frontal_oblique,test,test_r2_daylight_frontal_oblique,daylight,frontal_oblique,,200,180 s dwell; >=5 history points; stationary displacement <=0.04 diagonal or pacing path/net rule.,"Walk purposefully through the ROI once within 15 s, exit, and stay outside; do not pace or wait.","Fixed 2.5-3 m high, 20-35 degree downward tilt; actor path 20-35 degrees off the camera optical axis; stable daylight, no backlight; full body and ROI/line visible; >=1280x720, 25-30 FPS",experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_frontal_oblique/P01_suspicious_behavior_negative_r2_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_negative_r2_daylight_frontal_oblique.yaml,NEEDS_MANUAL_CONFIRMATION,TO_RECORD
