ID,Feature Name,Definition,Source Module,Formula/Calculation,Range/Unit,Normalization
1,duration,Alert duration,analytics.behavior_learning.extract_behavior_features,float(alert['duration'] or 0),"s; >=0; observed [0.0, 191.1]",z-score from training mean/std
2,threshold_seconds,Rule duration threshold,analytics.behavior_learning.extract_behavior_features,float(alert['threshold_seconds'] or 0),"s; >=0; observed [0.0, 180.0]",z-score
3,duration_ratio,Duration-to-threshold ratio,analytics.behavior_learning.extract_behavior_features,"duration / max(threshold_seconds, 1)",">=0; observed [0.0, 20.12666666666667]","derived ratio, then z-score"
4,near_seconds,Person-asset proximity duration,analytics.behavior_learning.extract_behavior_features,float(alert['near_seconds'] or 0),"s; >=0; observed [0.0, 20.1]",z-score
5,score,Rule-based cue count,analytics.behavior_learning.extract_behavior_features,float(alert['score'] or 0),"count; current theft rule 0..5; observed [0.0, 5.0]",z-score
6,score_ratio,Cue-count-to-trigger ratio,analytics.behavior_learning.extract_behavior_features,"score / max(score_threshold, 1)",">=0; observed [0.0, 2.5]","derived ratio, then z-score"
7,pacing_passes,Pacing side changes,analytics.behavior_learning.extract_behavior_features,float(alert['pacing_passes'] or 0),"count; >=0; observed [0.0, 2.0]",z-score
8,object_confidence,Tracked-object confidence,analytics.behavior_learning.extract_behavior_features,obj.confidence; identity_score fallback when no object matches,"typically [0,1]; observed [0.0, 0.947265625]",z-score
9,bbox_area_ratio,Bounding-box area ratio,analytics.behavior_learning.extract_behavior_features,"max(0,(x2-x1)*(y2-y1)) / frame_area","ratio; normally [0,1]; observed [0.0, 0.656024478697639]","geometric ratio, then z-score"
10,path_length_ratio,Track path length ratio,analytics.behavior_learning._motion_metrics,sum Euclidean step lengths / frame diagonal,">=0; observed [0.0, 0.987757407764594]","geometric ratio, then z-score"
11,net_distance_ratio,Net displacement ratio,analytics.behavior_learning._motion_metrics,"distance(first,last) / frame diagonal",">=0; observed [0.0, 0.6997232427035964]","geometric ratio, then z-score"
12,displacement_ratio,Maximum displacement ratio,analytics.behavior_learning._motion_metrics,"max distance(point,first) / frame diagonal",">=0; observed [0.0, 0.6997232427035964]","geometric ratio, then z-score"
13,speed_ratio,Mean normalized step length,analytics.behavior_learning.extract_behavior_features,"path_length_ratio / max(history_length-1,1)",">=0 per history step; observed [0.0, 0.21027485063286275]","derived ratio, then z-score"
14,has_vehicle_signal,Any vehicle-related theft cue,analytics.behavior_learning.extract_behavior_features,vehicle_started_moving OR moving_same_direction OR pose_push_contact,"{0,1}; observed [0.0, 1.0]",z-score
15,vehicle_started_moving,Vehicle displacement cue,analytics.theft_behavior.SuspiciousTheftDetector,bool(alert['vehicle_started_moving']),"{0,1}; observed [0.0, 1.0]",z-score
16,moving_same_direction,Correlated-motion cue,analytics.theft_behavior.SuspiciousTheftDetector,bool(alert['moving_same_direction']),"{0,1}; observed [0.0, 1.0]",z-score
17,pose_push_contact,Pose/contact cue,analytics.theft_behavior.SuspiciousTheftDetector,bool(alert['pose_push_contact']),"{0,1}; observed [0.0, 1.0]",z-score
18,object_count,Objects in current frame,analytics.behavior_learning.extract_behavior_features,len(objects),"count; >=0; observed [0.0, 17.0]",z-score
19,zone_configured,Camera has configured zones,analytics.behavior_learning.extract_behavior_features,bool(camera_config['zones']),"{0,1}; observed [0.0, 1.0]",z-score
20,is_person,Person class indicator,analytics.behavior_learning.extract_behavior_features,class_name == 'person',"{0,1}; observed [0.0, 1.0]",z-score
21,is_vehicle,Vehicle class indicator,analytics.behavior_learning.extract_behavior_features,class_name in VEHICLE_CLASSES,"{0,1}; observed [0.0, 1.0]",z-score
22,is_asset,Asset class indicator,analytics.behavior_learning.extract_behavior_features,class_name in ASSET_CLASSES,"{0,1}; observed [0.0, 1.0]",z-score
