section,item,value
events,records,36674
events,unique_event_ids,36674
events,duplicate_event_ids,0
events,duplicate_records_beyond_first,0
alert_type,stranger_detected,25577
alert_type,intrusion,3511
alert_type,suspicious_theft_behavior,2874
alert_type,asset_missing,2842
alert_type,possible_fall,568
alert_type,line_crossing,506
alert_type,possible_unresponsive,427
alert_type,loitering,214
alert_type,fall_recovery,100
alert_type,suspicious_stranger,54
alert_type,asset_removed,1
camera,suspect_f99ee2,12000
camera,intrusion_testing_395d88,6968
camera,motorcycle_73741f,5304
camera,bike_stole_dcd818,4155
camera,motorcycle_016324,2286
camera,imou_camera,2150
camera,fainting_8b3cad,1971
camera,intrusion_c2741a,976
camera,motorcycle_808541,850
camera,stealing_e23424,7
camera,bike_stole_185a6e,7
risk_dataset,recognized_labeled_samples,0
risk_dataset,positive_samples,0
risk_dataset,negative_samples,0
risk_dataset,unrecognized_labeled_samples,0
risk_dataset,model_file_exists,False
risk_dataset,evaluation_feasible,False
