feature_id,feature_name,definition,formula_source,unit_range,normalization,source_module
1,duration,Alert duration,float(alert['duration'] or 0),s; >=0,z-score from training mean/std,analytics.behavior_learning.extract_behavior_features
2,threshold_seconds,Rule duration threshold,float(alert['threshold_seconds'] or 0),s; >=0,z-score,analytics.behavior_learning.extract_behavior_features
3,duration_ratio,Duration-to-threshold ratio,"duration / max(threshold_seconds, 1)",>=0,"derived ratio, then z-score",analytics.behavior_learning.extract_behavior_features
4,near_seconds,Person-asset proximity duration,float(alert['near_seconds'] or 0),s; >=0,z-score,analytics.behavior_learning.extract_behavior_features
5,score,Rule-based cue count,float(alert['score'] or 0),count; current theft rule 0..5,z-score,analytics.behavior_learning.extract_behavior_features
6,score_ratio,Cue-count-to-trigger ratio,"score / max(score_threshold, 1)",>=0,"derived ratio, then z-score",analytics.behavior_learning.extract_behavior_features
7,pacing_passes,Pacing side changes,float(alert['pacing_passes'] or 0),count; >=0,z-score,analytics.behavior_learning.extract_behavior_features
8,object_confidence,Tracked-object confidence,obj.confidence; identity_score fallback when no object matches,"typically [0,1]",z-score,analytics.behavior_learning.extract_behavior_features
9,bbox_area_ratio,Bounding-box area ratio,"max(0,(x2-x1)*(y2-y1)) / frame_area","ratio; normally [0,1]","geometric ratio, then z-score",analytics.behavior_learning.extract_behavior_features
10,path_length_ratio,Track path length ratio,sum Euclidean step lengths / frame diagonal,>=0,"geometric ratio, then z-score",analytics.behavior_learning._motion_metrics
11,net_distance_ratio,Net displacement ratio,"distance(first,last) / frame diagonal",>=0,"geometric ratio, then z-score",analytics.behavior_learning._motion_metrics
12,displacement_ratio,Maximum displacement ratio,"max distance(point,first) / frame diagonal",>=0,"geometric ratio, then z-score",analytics.behavior_learning._motion_metrics
13,speed_ratio,Mean normalized step length,"path_length_ratio / max(history_length-1,1)",>=0 per history step,"derived ratio, then z-score",analytics.behavior_learning.extract_behavior_features
14,has_vehicle_signal,Any vehicle-related theft cue,vehicle_started_moving OR moving_same_direction OR pose_push_contact,"{0,1}",z-score,analytics.behavior_learning.extract_behavior_features
15,vehicle_started_moving,Vehicle displacement cue,bool(alert['vehicle_started_moving']),"{0,1}",z-score,analytics.theft_behavior.SuspiciousTheftDetector
16,moving_same_direction,Correlated-motion cue,bool(alert['moving_same_direction']),"{0,1}",z-score,analytics.theft_behavior.SuspiciousTheftDetector
17,pose_push_contact,Pose/contact cue,bool(alert['pose_push_contact']),"{0,1}",z-score,analytics.theft_behavior.SuspiciousTheftDetector
18,object_count,Objects in current frame,len(objects),count; >=0,z-score,analytics.behavior_learning.extract_behavior_features
19,zone_configured,Camera has configured zones,bool(camera_config['zones']),"{0,1}",z-score,analytics.behavior_learning.extract_behavior_features
20,is_person,Person class indicator,class_name == 'person',"{0,1}",z-score,analytics.behavior_learning.extract_behavior_features
21,is_vehicle,Vehicle class indicator,class_name in VEHICLE_CLASSES,"{0,1}",z-score,analytics.behavior_learning.extract_behavior_features
22,is_asset,Asset class indicator,class_name in ASSET_CLASSES,"{0,1}",z-score,analytics.behavior_learning.extract_behavior_features
