test_image,test_identity,reference_identity,reference_images,reference_pair_scores,aggregation,max_reference_image,comparison_type,cosine_similarity
nguyen/nguyen_07_new_front_stand.png,Nguyen,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.427997500|0.362491608|0.387088656,max,nguyen/nguyen_01_front_close.png,genuine,0.427997500
nguyen/nguyen_07_new_front_stand.png,Nguyen,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.084389567|0.267767847|0.125778809,max,tuan/tuan_06_me_06_color_left.png,impostor,0.267767847
nguyen/nguyen_08_new_front_left.png,Nguyen,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.426470995|0.317041129|0.285035610,max,nguyen/nguyen_01_front_close.png,genuine,0.426470995
nguyen/nguyen_08_new_front_left.png,Nguyen,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.045428887|0.161414534|0.025762070,max,tuan/tuan_06_me_06_color_left.png,impostor,0.161414534
nguyen/nguyen_09_new_front_clear.png,Nguyen,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.505216956|0.342048138|0.366261274,max,nguyen/nguyen_01_front_close.png,genuine,0.505216956
nguyen/nguyen_09_new_front_clear.png,Nguyen,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.186296403|0.226395994|0.271004617,max,tuan/tuan_09_me_09_color_right.png,impostor,0.271004617
nguyen/nguyen_11_new_side_near.png,Nguyen,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.243953601|0.161917120|0.263490915,max,nguyen/nguyen_04_three_quarter_close.png,genuine,0.263490915
nguyen/nguyen_11_new_side_near.png,Nguyen,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.127026200|0.220389009|0.144253895,max,tuan/tuan_06_me_06_color_left.png,impostor,0.220389009
nguyen/nguyen_12_new_front_near.png,Nguyen,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.519268751|0.382318258|0.348402858,max,nguyen/nguyen_01_front_close.png,genuine,0.519268751
nguyen/nguyen_12_new_front_near.png,Nguyen,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.105973631|0.218132898|0.159586281,max,tuan/tuan_06_me_06_color_left.png,impostor,0.218132898
tuan/tuan_11_new_front_body.png,Tuan,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.155058295|0.147556826|0.085096389,max,nguyen/nguyen_01_front_close.png,impostor,0.155058295
tuan/tuan_11_new_front_body.png,Tuan,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.335328817|0.310171306|0.215988487,max,tuan/tuan_03_me_03_color_front.png,genuine,0.335328817
tuan/tuan_12_new_front_near.png,Tuan,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.188864738|0.075004056|0.018098699,max,nguyen/nguyen_01_front_close.png,impostor,0.188864738
tuan/tuan_12_new_front_near.png,Tuan,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.373734117|0.346077502|0.342088997,max,tuan/tuan_03_me_03_color_front.png,genuine,0.373734117
tuan/tuan_13_new_front_clear.png,Tuan,Nguyen,nguyen/nguyen_01_front_close.png|nguyen/nguyen_02_front_alt.png|nguyen/nguyen_04_three_quarter_close.png,0.204306394|0.134992242|0.167450368,max,nguyen/nguyen_01_front_close.png,impostor,0.204306394
tuan/tuan_13_new_front_clear.png,Tuan,Tuan,tuan/tuan_03_me_03_color_front.png|tuan/tuan_06_me_06_color_left.png|tuan/tuan_09_me_09_color_right.png,0.388905108|0.338295162|0.204079330,max,tuan/tuan_03_me_03_color_front.png,genuine,0.388905108
