threshold,TP,TN,FP,FN,TPR,FPR,FAR,FRR,accuracy,balanced_accuracy
0.2,8,3,5,0,1.0,0.625,0.625,0.0,0.6875,0.6875
0.205,8,4,4,0,1.0,0.5,0.5,0.0,0.75,0.75
0.21,8,4,4,0,1.0,0.5,0.5,0.0,0.75,0.75
0.215,8,4,4,0,1.0,0.5,0.5,0.0,0.75,0.75
0.22,8,5,3,0,1.0,0.375,0.375,0.0,0.8125,0.8125
0.225,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.23,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.235,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.24,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.245,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.25,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.255,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.26,8,6,2,0,1.0,0.25,0.25,0.0,0.875,0.875
0.265,7,6,2,1,0.875,0.25,0.25,0.125,0.8125,0.8125
0.27,7,7,1,1,0.875,0.125,0.125,0.125,0.875,0.875
0.275,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.28,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.285,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.29,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.295,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.3,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.305,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.31,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.315,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.32,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.325,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.33,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.335,7,8,0,1,0.875,0.0,0.0,0.125,0.9375,0.9375
0.34,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.345,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.35,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.355,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.36,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.365,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.37,6,8,0,2,0.75,0.0,0.0,0.25,0.875,0.875
0.375,5,8,0,3,0.625,0.0,0.0,0.375,0.8125,0.8125
0.38,5,8,0,3,0.625,0.0,0.0,0.375,0.8125,0.8125
0.385,5,8,0,3,0.625,0.0,0.0,0.375,0.8125,0.8125
0.39,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.395,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.4,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.405,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.41,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.415,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.42,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.425,4,8,0,4,0.5,0.0,0.0,0.5,0.75,0.75
0.43,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.435,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.44,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.445,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.45,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.455,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.46,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.465,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.47,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.475,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.48,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.485,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.49,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.495,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.5,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.505,2,8,0,6,0.25,0.0,0.0,0.75,0.625,0.625
0.51,1,8,0,7,0.125,0.0,0.0,0.875,0.5625,0.5625
0.515,1,8,0,7,0.125,0.0,0.0,0.875,0.5625,0.5625
0.52,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.525,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.53,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.535,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.54,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.545,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.55,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.555,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.56,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.565,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.57,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.575,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.58,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.585,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.59,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.595,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.6,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.605,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.61,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.615,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.62,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.625,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.63,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.635,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.64,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.645,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.65,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.655,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.66,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.665,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.67,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.675,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.68,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.685,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.69,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.695,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
0.7,0,8,0,8,0.0,0.0,0.0,1.0,0.5,0.5
