experiment_version,clip_id,group_id,split,behavior,raw_alert_type,behavior_event_id,instrumentation_event_id,video_time_seconds,frame_index,direction,line_id,track_id,frame_processing_ms
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_negative_r2_low_light_side_oblique:line:139:doorway:out:1,5.581,139,OUT,doorway,,35.261
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_negative_r2_low_light_side_oblique:line:150:doorway:out:1,6.022,150,OUT,doorway,,46.001
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_negative_r2_low_light_side_oblique:line:228:doorway:out:1,9.154,228,OUT,doorway,,38.533
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:308:doorway:out:1,12.366,308,OUT,doorway,,34.756
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,cb795044-402d-47b0-8dac-024e9593a3e5,,15.257,380,IN,doorway,2,35.356
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:380:doorway:in:1,15.257,380,IN,doorway,,35.356
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:392:doorway:out:1,15.738,392,OUT,doorway,,35.072
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,ad6bb6d1-6ae4-4224-82b8-441b6d37f77d,,15.899,396,IN,doorway,2,36.148
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:396:doorway:in:1,15.899,396,IN,doorway,,36.148
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:406:doorway:out:1,16.3,406,OUT,doorway,,35.339
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,77cd2b28-7c28-499c-9e53-3a9fb868af30,,16.501,411,IN,doorway,2,35.038
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:411:doorway:in:1,16.501,411,IN,doorway,,35.038
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:416:doorway:out:1,16.702,416,OUT,doorway,,35.755
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,d7f8ee31-29fa-4eeb-8e14-210b43fc8ed3,,16.782,418,IN,doorway,2,35.82
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:418:doorway:in:1,16.782,418,IN,doorway,,35.82
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:456:doorway:out:1,18.308,456,OUT,doorway,,34.613
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,0dd028b8-6c26-4a07-9c87-4120cca1bd4e,,18.468,460,IN,doorway,2,37.236
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:460:doorway:in:1,18.468,460,IN,doorway,,37.236
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:470:doorway:out:1,18.87,470,OUT,doorway,,34.286
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,intrusion,intrusion,b8176fbc-4690-42c2-a360-10d3a0e9863c,,19.111,476,IN,doorway,2,35.921
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,intrusion_low_light_session,test,line_crossing,counter_delta,,P01_intrusion_positive_r2_low_light_side_oblique:line:476:doorway:in:1,19.111,476,IN,doorway,,35.921
